id,city,city_ascii,state_id,state_name,county_name,lat,lng,population
13374,Hyde,Hyde,PA,Pennsylvania,Clearfield,41.0075,-78.4686,1361
13375,Hays,Hays,NC,North Carolina,Wilkes,36.2469,-81.1142,1360
13376,Newcastle,Newcastle,CA,California,Placer,38.8677,-121.1318,1360
13377,Dayton,Dayton,IN,Indiana,Tippecanoe,40.3752,-86.7739,1359
13378,Sanborn,Sanborn,IA,Iowa,O'Brien,43.1814,-95.6554,1359
13379,William Paterson University of New Jersey,William Paterson University of New Jersey,NJ,New Jersey,Passaic,40.9478,-74.1989,1359
13380,Palmdale,Palmdale,PA,Pennsylvania,Dauphin,40.2962,-76.6234,1359
13381,Cadott,Cadott,WI,Wisconsin,Chippewa,44.9502,-91.1532,1358
13382,Claude,Claude,TX,Texas,Armstrong,35.1075,-101.3629,1358
13383,Bay Park,Bay Park,NY,New York,Nassau,40.6302,-73.6670,1358
13384,Ohatchee,Ohatchee,AL,Alabama,Calhoun,33.7877,-86.0281,1358
13385,Greenville,Greenville,FL,Florida,Madison,30.4667,-83.6352,1358
13386,Dallesport,Dallesport,WA,Washington,Klickitat,45.6316,-121.1749,1357
13387,Hillsboro,Hillsboro,WI,Wisconsin,Vernon,43.6560,-90.3365,1357
13388,Saint John Fisher College,Saint John Fisher College,NY,New York,Monroe,43.1143,-77.5108,1357
13389,Edgar,Edgar,WI,Wisconsin,Marathon,44.9229,-89.9626,1357
13390,Cactus Flats,Cactus Flats,AZ,Arizona,Graham,32.7642,-109.7206,1356
13391,New Milford,New Milford,IL,Illinois,Winnebago,42.1750,-89.0569,1356
13392,Gloster,Gloster,MS,Mississippi,Amite,31.1951,-91.0176,1356
13393,Duboistown,Duboistown,PA,Pennsylvania,Lycoming,41.2228,-77.0380,1356
13394,Capitan,Capitan,NM,New Mexico,Lincoln,33.5393,-105.5983,1356
13395,Palmarejo,Palmarejo,PR,Puerto Rico,Lajas,18.0409,-67.0766,1355
13396,Coulee Dam,Coulee Dam,WA,Washington,Okanogan,47.9689,-118.9759,1355
13397,Jonesville,Jonesville,VA,Virginia,Lee,36.6870,-83.1153,1355
13398,Denton,Denton,NC,North Carolina,Davidson,35.6378,-80.1106,1355
13399,North Charleroi,North Charleroi,PA,Pennsylvania,Washington,40.1500,-79.9084,1355
13400,Shokan,Shokan,NY,New York,Ulster,41.9809,-74.2130,1355
13401,Monument Hills,Monument Hills,CA,California,Yolo,38.6641,-121.8754,1354
13402,Colwich,Colwich,KS,Kansas,Sedgwick,37.7818,-97.5363,1354
13403,Stanton,Stanton,MI,Michigan,Montcalm,43.2928,-85.0789,1354
13404,Church Rock,Church Rock,NM,New Mexico,McKinley,35.5692,-108.5730,1354
13405,Elwood,Elwood,UT,Utah,Box Elder,41.6759,-112.1376,1354
13406,Carbon Hill,Carbon Hill,AL,Alabama,Walker,33.8944,-87.5224,1354
13407,Fuig,Fuig,PR,Puerto Rico,Guánica,17.9857,-66.9170,1354
13408,Oxford,Oxford,IN,Indiana,Benton,40.5214,-87.2482,1353
13409,Cannelton,Cannelton,IN,Indiana,Perry,37.9106,-86.7377,1353
13410,Central City,Central City,IL,Illinois,Marion,38.5484,-89.1284,1353
13411,Yarrow Point,Yarrow Point,WA,Washington,King,47.6492,-122.2191,1353
13412,Stockdale,Stockdale,TX,Texas,Wilson,29.2361,-97.9636,1353
13413,East Griffin,East Griffin,GA,Georgia,Spalding,33.2439,-84.2318,1353
13414,Blue Ridge,Blue Ridge,AL,Alabama,Elmore,32.5010,-86.1839,1353
13415,Contoocook,Contoocook,NH,New Hampshire,Merrimack,43.2232,-71.7129,1353
13416,Covelo,Covelo,CA,California,Mendocino,39.8025,-123.2499,1352
13417,Oquawka,Oquawka,IL,Illinois,Henderson,40.9379,-90.9499,1352
13418,Morgantown,Morgantown,IN,Indiana,Morgan,39.3730,-86.2584,1352
13419,Pierce,Pierce,CO,Colorado,Weld,40.6411,-104.7701,1352
13420,Starbuck,Starbuck,MN,Minnesota,Pope,45.6116,-95.5322,1351
13421,South Wenatchee,South Wenatchee,WA,Washington,Chelan,47.3885,-120.2829,1351
13422,Deans,Deans,NJ,New Jersey,Middlesex,40.4037,-74.5130,1351
13423,Greenvale,Greenvale,NY,New York,Nassau,40.8118,-73.6262,1350
13424,Cressona,Cressona,PA,Pennsylvania,Schuylkill,40.6304,-76.1939,1350
13425,Enosburg Falls,Enosburg Falls,VT,Vermont,Franklin,44.9083,-72.8026,1350
13426,Vian,Vian,OK,Oklahoma,Sequoyah,35.5023,-94.9695,1350
13427,Mancos,Mancos,CO,Colorado,Montezuma,37.3466,-108.2939,1349
13428,Galveston,Galveston,IN,Indiana,Cass,40.5766,-86.1924,1349
13429,Shoemakersville,Shoemakersville,PA,Pennsylvania,Berks,40.5004,-75.9700,1349
13430,Bear Creek Ranch,Bear Creek Ranch,TX,Texas,Dallas,32.5594,-96.7643,1349
13431,Riesel,Riesel,TX,Texas,McLennan,31.4763,-96.9303,1349
13432,Stillman Valley,Stillman Valley,IL,Illinois,Ogle,42.1055,-89.1791,1348
13433,Avondale,Avondale,PA,Pennsylvania,Chester,39.8248,-75.7819,1348
13434,Ardmore,Ardmore,AL,Alabama,Limestone,34.9847,-86.8373,1347
13435,La Crosse,La Crosse,KS,Kansas,Rush,38.5318,-99.3095,1347
13436,Three Oaks,Three Oaks,MI,Michigan,Berrien,41.7985,-86.6139,1347
13437,Whitehorn Cove,Whitehorn Cove,OK,Oklahoma,Wagoner,35.9936,-95.2868,1347
